"t","napoved"
348,1616.30557454154
349,1615.91170114554
350,1615.52147604105
351,1615.13489922808
352,1614.75197070662
353,1614.37269047667
354,1613.99705853823
355,1613.6250748913
356,1613.25673953588
357,1612.89205247198
358,1612.53101369958
359,1612.1736232187
360,1611.81988102933
361,1611.46978713148
362,1611.12334152513
363,1610.78054421029
364,1610.44139518697
365,1610.10589445516
366,1609.77404201486
367,1609.44583786607
368,1609.1212820088
369,1608.80037444303
370,1608.48311516878
371,1608.16950418604
372,1607.85954149481
373,1607.55322709509
374,1607.25056098688
375,1606.95154317019
376,1606.656173645
377,1606.36445241133
378,1606.07637946917
379,1605.79195481852
380,1605.51117845938
381,1605.23405039176
382,1604.96057061565
383,1604.69073913104
384,1604.42455593795
385,1604.16202103637
386,1603.90313442631
387,1603.64789610775
388,1603.39630608071
389,1603.14836434518
390,1602.90407090116
391,1602.66342574865
392,1602.42642888765
393,1602.19308031816
394,1601.96338004019
395,1601.73732805373
396,1601.51492435878
397,1601.29616895534
398,1601.08106184341
399,1600.86960302299
400,1600.66179249409
401,1600.4576302567
402,1600.25711631082
403,1600.06025065645
404,1599.86703329359
405,1599.67746422224
406,1599.49154344241
407,1599.30927095409
408,1599.13064675728
409,1598.95567085198
410,1598.78434323819
411,1598.61666391591
412,1598.45263288515
413,1598.29225014589
414,1598.13551569815
415,1597.98242954192
416,1597.83299167721
417,1597.687202104
418,1597.5450608223
419,1597.40656783212
420,1597.27172313345
421,1597.14052672629
422,1597.01297861064
423,1596.88907878651
424,1596.76882725388
425,1596.65222401277
426,1596.53926906317
427,1596.42996240508
428,1596.3243040385
429,1596.22229396343
430,1596.12393217988
431,1596.02921868783
432,1595.9381534873
433,1595.85073657828
434,1595.76696796077
435,1595.68684763477
436,1595.61037560029
437,1595.53755185732
438,1595.46837640585
439,1595.4028492459
440,1595.34097037746
441,1595.28273980054
442,1595.22815751512
443,1595.17722352122
444,1595.12993781883
445,1595.08630040795
446,1595.04631128858
447,1595.00997046072
448,1594.97727792437
449,1594.94823367954
450,1594.92283772622
451,1594.90109006441
452,1594.88299069411
453,1594.86853961532
454,1594.85773682804
455,1594.85058233228
456,1594.84707612803
457,1594.84721821529
458,1594.85100859406
459,1594.85844726434
460,1594.86953422613
461,1594.88426947944
462,1594.90265302426
463,1594.92468486058
464,1594.95036498843
465,1594.97969340778
466,1595.01267011864
467,1595.04929512102
468,1595.0895684149
469,1595.1334900003
470,1595.18105987721
471,1595.23227804563
472,1595.28714450557
473,1595.34565925701
474,1595.40782229997
475,1595.47363363444
476,1595.54309326042
477,1595.61620117791
478,1595.69295738691
479,1595.77336188743
480,1595.85741467946
481,1595.94511576299
482,1596.03646513804
483,1596.13146280461
484,1596.23010876268
485,1596.33240301226
486,1596.43834555336
487,1596.54793638597
488,1596.66117551009
489,1596.77806292572
490,1596.89859863286
491,1597.02278263152
492,1597.15061492168
493,1597.28209550336
494,1597.41722437655
495,1597.55600154125
496,1597.69842699747
497,1597.84450074519
498,1597.99422278443
499,1598.14759311517
500,1598.30461173743
501,1598.46527865121
502,1598.62959385649
503,1598.79755735328
504,1598.96916914159
505,1599.14442922141
506,1599.32333759274
507,1599.50589425558
508,1599.69209920993
509,1599.88195245579
510,1600.07545399317
